Country,Latitude,Longitude,bcm,Year,MMscfd,Field  Type,Field Name,Field  Operator,state,Flare Level,flaring_vol_m3,carbon_emissions_ton,estimated_regulatory_fine_usd,operators_per_country,operator_global_rank,location_global_rank,previous_year_flare,yoy_percentage_change
Nigeria,4.3669,5.7912,0.008,2017,0.727,OIL,North Apoi,Chevron,OFFSHORE,Small,7.51,18024.0,26285.0,539,13,2,141317.04,-0.42
Nigeria,5.5596,5.0726,0.116,2017,11.177,OIL,Okan,Chevron,OFFSHORE,Medium,115.52,277248.0,404320.0,539,13,2,141317.04,-0.42
Nigeria,5.5744,5.0586,0.021,2017,1.985,OIL,Okan,Chevron,OFFSHORE,Small,20.52,49248.0,71820.0,539,13,2,141317.04,-0.42
Nigeria,5.6735,5.2746,0.005,2014,0.502,OIL,Abiteye,Chevron,ONSHORE,Small,5.19,12456.000000000002,18165.0,539,13,1,140119.37,3.48
Nigeria,5.7774,4.889,0.053,2013,5.087,OIL,Meren,Chevron,OFFSHORE,Medium,52.58,126192.0,184030.0,539,13,2,143266.91,-2.2
Nigeria,5.4362,5.1418,0.06,2023,5.793,OIL,Meji,Chevron,OFFSHORE,Medium,59.87,143688.0,209545.0,539,13,2,138548.47,6.55
Nigeria,5.7588,4.9238,0.028,2013,2.67,OIL,Meren,Chevron,OFFSHORE,Small,27.59,66216.0,96565.0,539,13,2,143266.91,-2.2
Nigeria,4.3673,5.7916,0.001,2013,0.113,OIL,North Apoi,Chevron,OFFSHORE,Small,1.17,2808.0,4095.0,539,13,2,143266.91,-2.2
Nigeria,5.5597,5.0726,0.062,2013,5.955,OIL,Okan,Chevron,OFFSHORE,Medium,61.54,147696.0,215390.0,539,13,2,143266.91,-2.2
Nigeria,4.3673,5.7916,0.0,2014,0.0,OIL,North Apoi,Chevron,OFFSHORE,Small,0.0,0.0,0.0,539,13,2,140119.37,3.48
Nigeria,5.5597,5.0726,0.046,2014,4.403,OIL,Okan,Chevron,OFFSHORE,Small,45.51,109224.0,159285.0,539,13,2,140119.37,3.48
Nigeria,5.5742,5.0588,0.023,2014,2.234,OIL,Okan,Chevron,OFFSHORE,Small,23.09,55416.0,80815.0,539,13,2,140119.37,3.48
Nigeria,5.538,5.0915,0.016,2014,1.53,OIL,Okan,Chevron,OFFSHORE,Small,15.82,37968.0,55370.0,539,13,2,140119.37,3.48
Nigeria,5.7386,4.7259,0.036,2014,3.474,OIL,Opolo,Chevron,OFFSHORE,Small,35.91,86183.999999999985,125685.0,539,13,2,140119.37,3.48
Nigeria,5.9161,5.0162,0.061,2014,5.902,OIL,Opuekeba,Chevron,ONSHORE,Medium,61.0,146400.0,213500.0,539,13,1,140119.37,3.48
Nigeria,5.8815,4.8344,0.146,2014,14.16,OIL,Parabe,Chevron,OFFSHORE,Medium,146.35,351240.0,512225.0,539,13,2,140119.37,3.48
Nigeria,5.7178,5.0046,0.042,2014,4.025,OIL,Tapa,Chevron,OFFSHORE,Small,41.6,99840.0,145600.0,539,13,2,140119.37,3.48
Nigeria,5.5742,5.0588,0.028,2013,2.746,OIL,Okan,Chevron,OFFSHORE,Small,28.38,68112.0,99330.0,539,13,2,143266.91,-2.2
Nigeria,5.538,5.0915,0.018,2013,1.729,OIL,Okan,Chevron,OFFSHORE,Small,17.87,42888.0,62545.0,539,13,2,143266.91,-2.2
Nigeria,5.7386,4.7259,0.046,2013,4.442,OIL,Opolo,Chevron,OFFSHORE,Small,45.91,110183.99999999999,160685.0,539,13,2,143266.91,-2.2
